246965.019,641040.994,1.19
246975.019,641070.994,0.36
246975.019,641060.994,0.38
246975.019,641050.994,0.55
246975.019,641040.994,0.75
246975.019,641030.994,0.56
246985.019,641090.994,0.51
246985.019,641080.994,0.43
246985.019,641070.994,0.29
246985.019,641060.994,0.28
246985.019,641050.994,0.23
246985.019,641040.994,0.53
246985.019,641030.994,0.59
246995.019,641120.994,0.62
246995.019,641110.994,0.37
246995.019,641100.994,0.54
246995.019,641090.994,0.4
246995.019,641080.994,0.43
246995.019,641070.994,0.33
246995.019,641060.994,0.37
246995.019,641050.994,0.36
246995.019,641040.994,0.45
246995.019,641030.994,0.21
247005.019,641140.994,0.52
247005.019,641130.994,0.52
247005.019,641120.994,0.6
247005.019,641110.994,0.59
247005.019,641100.994,0.61
247005.019,641090.994,0.48
247005.019,641080.994,0.51
247005.019,641070.994,0.74
247005.019,641060.994,0.52
247005.019,641050.994,0.42
247005.019,641040.994,0.18
247005.019,641030.994,0.12
247015.019,641170.994,1.52
247015.019,641160.994,1.05
247015.019,641150.994,1.09
247015.019,641140.994,0.49
247015.019,641130.994,0.55
247015.019,641120.994,0.53
247015.019,641110.994,0.59
247015.019,641100.994,0.51
247015.019,641090.994,0.48
247015.019,641080.994,0.54
247015.019,641070.994,0.63
247015.019,641060.994,0.51
247015.019,641050.994,0.6
247015.019,641040.994,0.45
247015.019,641030.994,0.18
247025.019,641200.994,0.6
247025.019,641190.994,1.43
247025.019,641180.994,1.34
247025.019,641170.994,1.35
247025.019,641160.994,1.34
247025.019,641150.994,0.48
247025.019,641140.994,0.53
247025.019,641130.994,0.42
247025.019,641120.994,0.61
247025.019,641110.994,0.55
247025.019,641100.994,0.57
247025.019,641090.994,0.59
247025.019,641080.994,0.56
247025.019,641070.994,0.64
247025.019,641060.994,0.78
247025.019,641050.994,0.63
247025.019,641040.994,0.48
247025.019,641030.994,0.27
247035.019,641220.994,1.58
247035.019,641210.994,0.62
247035.019,641200.994,0.67
247035.019,641190.994,0.64
247035.019,641180.994,0.64
247035.019,641170.994,0.48
247035.019,641160.994,0.49
247035.019,641150.994,0.53
247035.019,641140.994,0.39
247035.019,641130.994,0.34
247035.019,641120.994,0.56
247035.019,641110.994,0.56
247035.019,641100.994,0.48
247035.019,641090.994,0.39
247035.019,641080.994,0.37
247035.019,641070.994,0.51
247035.019,641060.994,0.6
247035.019,641050.994,0.49
247035.019,641040.994,0.44
247035.019,641030.994,0.41
247045.019,641250.994,0.65
247045.019,641240.994,0.72
247045.019,641230.994,0.62
247045.019,641220.994,1.39
247045.019,641210.994,0.69
247045.019,641200.994,0.65
247045.019,641190.994,0.64
247045.019,641180.994,0.58
247045.019,641170.994,0.46
247045.019,641160.994,0.41
247045.019,641150.994,0.53
247045.019,641140.994,0.35
247045.019,641130.994,0.48
247045.019,641120.994,0.48
247045.019,641110.994,0.47
247045.019,641100.994,0.44
247045.019,641090.994,0.47
247045.019,641080.994,0.31
247045.019,641070.994,0.41
247045.019,641060.994,0.55
247045.019,641050.994,0.46
247045.019,641040.994,0.45
247055.019,641270.994,0.71
247055.019,641260.994,0.59
247055.019,641250.994,0.63
247055.019,641240.994,0.73
247055.019,641230.994,0.74
247055.019,641220.994,0.7
247055.019,641210.994,0.62
247055.019,641200.994,0.46
247055.019,641190.994,0.44
247055.019,641180.994,0.38
