251534.86	645377.7	3.32	3.32
251534.86	645367.7	3.25	3.25
251534.86	645357.7	3.4	3.4
251534.86	645347.7	3.33	3.33
251544.86	645627.7	3.9	3.9
251544.86	645617.7	3.79	3.79
251544.86	645607.7	3.77	3.77
251544.86	645597.7	3.81	3.81
251544.86	645587.7	3.67	3.67
251544.86	645577.7	3.86	3.86
251544.86	645567.7	3.91	3.91
251544.86	645557.7	3.83	3.83
251544.86	645547.7	3.86	3.86
251544.86	645537.7	3.85	3.85
251544.86	645527.7	3.76	3.76
251544.86	645517.7	3.87	3.87
251544.86	645507.7	3.89	3.89
251544.86	645497.7	3.49	3.49
251544.86	645487.7	3.41	3.41
251544.86	645477.7	3.79	3.79
251544.86	645467.7	3.34	3.34
251544.86	645457.7	3.33	3.33
251544.86	645447.7	3.32	3.32
251544.86	645437.7	3.34	3.34
251544.86	645427.7	3.41	3.41
251544.86	645417.7	3.32	3.32
251544.86	645407.7	3.33	3.33
251544.86	645397.7	3.36	3.36
251544.86	645387.7	3.52	3.52
251544.86	645377.7	3.47	3.47
251544.86	645367.7	3.36	3.36
251544.86	645357.7	3.28	3.28
251544.86	645347.7	3.54	3.54
251544.86	645337.7	3.36	3.36
251544.86	645327.7	3.33	3.33
251554.86	645577.7	3.74	3.74
251554.86	645567.7	3.7	3.7
251554.86	645557.7	3.82	3.82
251554.86	645547.7	3.77	3.77
251554.86	645537.7	3.79	3.79
251554.86	645527.7	3.77	3.77
251554.86	645517.7	3.76	3.76
251554.86	645507.7	3.78	3.78
251554.86	645497.7	3.79	3.79
251554.86	645487.7	3.91	3.91
251554.86	645477.7	3.84	3.84
251554.86	645467.7	3.34	3.34
251554.86	645457.7	3.38	3.38
251554.86	645447.7	3.35	3.35
251554.86	645437.7	3.38	3.38
251554.86	645427.7	3.56	3.56
251554.86	645417.7	3.56	3.56
251554.86	645407.7	3.33	3.33
251554.86	645397.7	3.33	3.33
251554.86	645387.7	3.49	3.49
251554.86	645377.7	3.45	3.45
251554.86	645367.7	3.41	3.41
251554.86	645357.7	3.29	3.29
251554.86	645347.7	3.28	3.28
251554.86	645337.7	3.3	3.3
251554.86	645327.7	3.53	3.53
251554.86	645317.7	3.51	3.51
251564.86	645547.7	3.97	3.97
251564.86	645537.7	3.84	3.84
251564.86	645527.7	3.8	3.8
251564.86	645517.7	3.74	3.74
251564.86	645507.7	3.84	3.84
251564.86	645497.7	3.81	3.81
251564.86	645487.7	3.87	3.87
251564.86	645477.7	3.74	3.74
251564.86	645467.7	3.81	3.81
251564.86	645457.7	3.76	3.76
251564.86	645447.7	3.44	3.44
251564.86	645437.7	3.32	3.32
251564.86	645427.7	3.35	3.35
251564.86	645417.7	3.41	3.41
251564.86	645407.7	3.37	3.37
251564.86	645397.7	3.36	3.36
251564.86	645387.7	3.37	3.37
251564.86	645377.7	3.51	3.51
251564.86	645367.7	3.59	3.59
251564.86	645357.7	3.42	3.42
251564.86	645347.7	3.33	3.33
251564.86	645337.7	3.31	3.31
251564.86	645327.7	3.45	3.45
251564.86	645317.7	3.5	3.5
251564.86	645307.7	3.8	3.8
251574.86	645517.7	3.87	3.87
251574.86	645507.7	3.65	3.65
251574.86	645497.7	3.63	3.63
251574.86	645487.7	3.91	3.91
251574.86	645477.7	3.9	3.9
251574.86	645467.7	3.98	3.98
251574.86	645457.7	3.97	3.97
251574.86	645447.7	3.96	3.96
251574.86	645437.7	3.63	3.63
251574.86	645427.7	3.48	3.48
251574.86	645417.7	3.37	3.37
251574.86	645407.7	3.34	3.34
251574.86	645397.7	3.34	3.34
251574.86	645387.7	3.33	3.33
251574.86	645377.7	3.33	3.33
251574.86	645367.7	3.32	3.32
251574.86	645357.7	3.32	3.32
251574.86	645347.7	3.36	3.36
251574.86	645337.7	3.32	3.32
251574.86	645327.7	3.41	3.41
251574.86	645317.7	3.61	3.61
251574.86	645307.7	3.76	3.76
251574.86	645297.7	3.73	3.73
251584.86	645487.7	3.62	3.62
251584.86	645477.7	3.78	3.78
251584.86	645467.7	3.93	3.93
251584.86	645457.7	3.78	3.78
251584.86	645447.7	3.91	3.91
